,T,P,FDR,HOLM
KLK7,7.584798966665698,3.330029768589986e-14,1.6290643899074474e-12,4.612091229497131e-10
TSC22D1,-2.8769063431584585,0.0040159476954992205,0.01382792706258353,1.0
SHISA9,-4.037191130111057,5.409499582390706e-05,0.0003604123708569265,0.6500595648158911
AHSG,0.0770754858275756,0.9385634944517032,0.9627374798344468,1.0
MEF2A,-4.682176257244474,2.8384525281167285e-06,2.822084517757687e-05,0.036096600800060434
LIMA1,3.4561867724854074,0.0005478755515536595,0.002634647805396475,1.0
BACH1,-0.10025242270329224,0.9201439283070945,0.950620551657522,1.0
TSPAN4,1.199521529248629,0.23032521848881082,0.3564292840405875,1.0
ILF3,-0.6723309394625636,0.5013730372800856,0.6271502867795924,1.0
RAD52,-1.7756795611829241,0.07578574806201943,0.149833436736237,1.0
NPFF,-0.9451505402576275,0.34458202601920185,0.4786464465861448,1.0
RGS4,5.118674719957979,3.07690110610275e-07,3.929650211208733e-06,0.004009817521473104
DHX35,-0.9542524473492244,0.33995587223253365,0.47408720868253706,1.0
LOC389332,0.8539336042178731,0.3931417788868826,0.5269174688855329,1.0
PNN,-2.5102275052226433,0.012065340127692446,0.034370295934982024,1.0
SQRDL,4.186553367409479,2.8322236396109286e-05,0.0002067216201178075,0.3455879285053255
TNFAIP8L1,0.14333191625117606,0.8860280505338373,0.928107325957427,1.0
PDE11A,3.961136271624959,7.45939442968304e-05,0.0004750491821930577,0.8890852220739215
CCDC121,2.8080176442414224,0.004984749559345919,0.016562723682733864,1.0
CCDC68,1.5450647523670413,0.1223306016961835,0.21934179413831864,1.0
GCAT,5.014270686498438,5.323499901477595e-07,6.443804932113891e-06,0.006905111722206589
ADIPOR2,2.885192583916266,0.003911742894239156,0.013559490738797586,1.0
ZNF682,-1.77219663435417,0.07636192212467725,0.150656552469814,1.0
RFXANK,4.8420398672888805,1.2851297095101047e-06,1.4101201159057911e-05,0.016515201896914355
TAX1BP1,5.083115869281547,3.7129304348725953e-07,4.666080932287e-06,0.004832007667943196
CYP1B1,-2.3981821466506035,0.016476669618011558,0.044210171009710746,1.0
ACAD11,0.536498609232495,0.5916139968475094,0.7044755906199013,1.0
TNFRSF18,3.59548826858229,0.00032378371997416044,0.0016794734741672228,1.0
ATP13A5,-0.7042306656237003,0.48128913670840845,0.6096079768980194,1.0
CALCB,1.8717393854387032,0.06124266779958089,0.12645667260851096,1.0
C18orf21,-0.93002637314321,0.35235742967050787,0.4862874148319672,1.0
ZNF568,-0.28268057636784116,0.7774217070260032,0.85110640343299,1.0
TOB1,-1.1722123780854703,0.24111179999837196,0.36864265473958935,1.0
LOC441454,-1.0577273883451146,0.29017974502904686,0.42333724437319825,1.0
LOC653513,1.3166621012640516,0.18795191252296728,0.30525722449738213,1.0
ENTPD5,4.42486117165091,9.650432337581538e-06,8.254802200278875e-05,0.12050494859938067
CCDC77,2.467878527706059,0.013591643369262335,0.03776703104454224,1.0
OR12D3,0.0,1.0,1.0,1.0
ZIC5,0.766066181900091,0.4436369239870678,0.5744242908076898,1.0
WDR53,-0.5796335157701311,0.5621617863239199,0.6796125419362393,1.0
THOC2,-2.6014196444818922,0.00928388117319034,0.02780064647165885,1.0
HLA-H,1.7418750709129862,0.08153030695552434,0.15890205124582343,1.0
SCAND3,0.11162718244648506,0.9111190182420706,0.945022482609879,1.0
HOMER1,3.0728325404070636,0.00212037438977068,0.008143942711920095,1.0
TUBGCP4,3.8777764961457564,0.00010541549191275376,0.0006412926956379141,1.0
FKBP4,0.8859811772207,0.37562767023508403,0.5096079072817981,1.0
F7,5.804780582535857,6.445034806594352e-09,1.214932027941746e-07,8.629257102549178e-05
GP6,-0.8488604543895191,0.3959589459548377,0.5292179597191808,1.0
PAOX,1.3716321099343327,0.17017799259661015,0.28325599945030305,1.0
GMDS,0.023048085553117756,0.9816119163975149,0.9917652389071833,1.0
FOXS1,5.853210360353947,4.82173617935046e-09,9.351125665796542e-08,6.46625429885444e-05
SPDEF,5.534436688535351,3.122301844861115e-08,5.050698338975565e-07,0.0004141733397208269
VPS37C,-0.30575048716683106,0.7597946296451981,0.8378423269576328,1.0
TMEM19,-0.429527417742648,0.6675394452978041,0.7669786816432632,1.0
C1orf220,-3.2851995438675767,0.001019101692981035,0.004418294920382053,1.0
E2F4,2.5912927297164066,0.009561612012522477,0.028429457546381234,1.0
MRPL33,0.7929223648948945,0.42782305613081006,0.5590006929689837,1.0
DUOX1,0.1750246166370714,0.8610602908571077,0.9100559668175291,1.0
TRMT2B,1.2821643993272782,0.1997849818465638,0.3202939444043879,1.0
TBCE,1.672376876494643,0.09445002889704368,0.17883145956159147,1.0
CD5,-8.215011913652024,2.1214319555059922e-16,1.435062439566685e-14,2.9551547140198473e-12
IFT57,4.334504542356468,1.4608877208084552e-05,0.00011682144002709241,0.180726419941214
SULF1,4.834099186677571,1.3374989125511218e-06,1.4568227754736332e-05,0.017174823536068955
FBXL16,-1.4970768763409554,0.13437325580519852,0.23633895876115713,1.0
CDR2,1.4048223554186399,0.16007410967467295,0.27064431506583664,1.0
IL4I1,3.5542762343260184,0.00037902088999611585,0.0019172083516154153,1.0
LMNA,2.2329341516508237,0.025553287051025445,0.06313742962729775,1.0
BATF,-4.702230676032958,2.5733453490968473e-06,2.589463099326066e-05,0.032768979675399254
ETS2,-3.523727150685757,0.000425522186729231,0.0021168306389788417,1.0
SYNRG,2.1190785670649754,0.034083827710478555,0.07925611121229371,1.0
RHBDF1,0.8787737343898223,0.3795239702919637,0.513072278828436,1.0
CASD1,1.967828625177383,0.049087759387276636,0.10608418560338077,1.0
OR10A2,0.6407913323269905,0.5216582651376762,0.644237813011566,1.0
CD99L2,2.9993376545405135,0.0027056727288168217,0.009998118410876168,1.0
FGF1,3.1201919703435137,0.0018073321263211816,0.007115583849047304,1.0
ZNF780A,-1.1100894345516947,0.2669604895901878,0.3976574196046172,1.0
ATP7B,-3.4065923565198784,0.0006577929123143859,0.0030571585122619285,1.0
RGMA,4.025702506983683,5.680546929757172e-05,0.0003763428889077174,0.6819496589173485
LRP1B,2.000649073725244,0.04543022113849971,0.09988996367902161,1.0
CLPP,-1.225272388420104,0.22047260814866343,0.34491996613984766,1.0
THUMPD1,-1.6558108130101143,0.09776013733552155,0.18386760963810078,1.0
